Pat_name	Total_obs_nr	Avg_obs	Total_obs_skåne	Max_obs_value	Max_obs_value_skåne	Min_reported_dist
Mjöldagg % ang blad 1–3	699	23,97748212	699	100	100	18,63975207
Kornets bladfläcksjuka % ang blad 1–3	313	17,85057508	313	100	100	19,56727089
Sköldfläcksjuka % ang blad 1–3	207	8,364251208	207	52	52	19,78608424
Kornrost % ang blad 1–3	219	25,84506849	219	100	100	19,56727089
Trips antal/strå	69	0,84884058	69	5,4	5,4	19,78608424
Trips % ang bladslidor	17	19,64705882	17	80	80	19,78608424
Havrebladlus antal/strå	160	0,2446875	160	1,4	1,4	18,63975207
Sädesbladlus antal/strå	257	0,32	257	3	3	18,63975207
Svartpricksjuka % ang blad 1–3	770	24,7317013	770	100	100	19,56727089
Trips antal/planta	0	Nan	0	0	0	99999999999
Bladlus antal/blad	22	5,302272727	22	15	15	36,5660943
Gröna löss antal/25 pl	1	0,01	1	0,01	0,01	99999999999
Stritnymfer antal/blad	0	Nan	0	0	0	99999999999
Vetets bladfläcksjuka % ang blad 1–3	82	7,110243902	82	90	90	19,56727089
Stråknäckare index	0	Nan	0	0	0	99999999999
Bladmögel % ang plantor	26	43,53884615	26	96	96	19,56727089
Rotbrand ang pl/10 pl	4	1,005	4	3	3	44,95810161
Ärtvecklare antal/fälla	0	Nan	0	0	0	99999999999
Bladmögel % ang bladyta	18	19,85611111	18	95	95	39,4734538
Bladfläcksvampar % ang blad 1–3	832	24,96917067	832	100	100	18,63975207
Betfluga 0–5	22	2,272727273	22	3	3	19,56727089
Fusarium % ang plantor	9	1,333333333	9	3	3	19,56727089
Rapsbagge antal/planta	30	1,413	30	10	10	14,66015931
Betrost % angripna blad	4	4,5	4	6	6	39,09486298
Stritar antal/dygn/fälla1	62	6,654193548	62	93	93	13,96467191
Stritar antal/dygn/fälla2	0	Nan	0	0	0	99999999999
Betfluga ang pl/25 pl	19	8,684210526	19	25	25	19,56727089
Mjöldagg % angripna blad	19	45,68421053	19	100	100	36,5660943
Ärtbladlus antal/toppskott	28	4,653571429	28	30	30	19,56727089
Blygrå rapsvivel antal/planta	10	0,12	10	0,3	0,3	30,21859339
Cercospora % angripna blad	22	14,22727273	22	75	75	36,5660943
Stinkfly antal/blad	1	4,3	1	4,3	4,3	61,18599771
Betbladlus ang pl/25 pl	33	2,757878788	33	16	16	19,56727089
Ärtvivel % angripna blad	20	43,401	20	80	80	19,56727089
Alternaria % ang bladyta	19	0,110526316	19	1	1	13,96467191
Minerarfluga-stick % ang blad 1–3	0	Nan	0	0	0	99999999999
Bipolaris % ang plantor	0	Nan	0	0	0	99999999999
Jordloppor ang pl/25 pl	12	2,25	12	6	6	19,56727089
Bladmögel % angripna blad	5	22,6	5	30	30	50,95451153
Fritfluga % ang plantor	3	3,003333333	3	5	5	50,95451153
Jordloppor antal/meter	0	Nan	0	0	0	99999999999
Brunrost % ang blad 1–3	420	35,6195	420	100	100	19,78608424
Gräsbladlus antal/strå	33	0,208484848	33	1	1	19,56727089
Trips ang pl/25 pl	13	1,307692308	13	2	2	39,09486298
Gulrost % ang blad 1–3	121	15,08272727	121	100	100	25,46670589
Betbladlus antal/planta	36	1,038333333	36	5,88	5,88	19,56727089
Trips antal/toppskott	15	0,453333333	15	2,48	2,48	50,95451153
Kronrost % ang blad 1–3	2	2	2	2	2	64,82930582
Ramularia % angripna blad	42	10,5	42	33	33	36,5660943
Jordloppor % ang plantor	2	25	2	30	30	14,66015931
Fjärilslarver % angripna blad	25	9,56	25	33	33	36,5660943